clue,word1,word2
Unnecessary sewing implement,needless,needles
Five o’clock shadow grizzly,beard,bear
Flat surface strategy,plane,plan
Metallic underwear,brass,bras
Unadorned celestial body,stark,star
A burning deception,flame,flam
Hands-down the best tourist destination in India,GOAT,Goa
Hitting the slopes barefoot,skin,ski
Renewable energy victory,wind,win
Flat Earth,planet,plane
Spaghetti bygones,pasta,past
Leave behind a furnace,forget,forge
Ice cream shop ruse,cone,con
A part in a movie for a high-priced timepiece,Rolex,role
Legendary director sacrifices himself for a part,martyr,Marty
Shuttle through the scrubland,bush,bus
Marxist revolutionary who believed in life after love,Cher,Che
Tolkien-themed 5K charity event,rune,run
Capsaicin reference point,anchor,ancho
Division of undersea exploration,Depth|Dive,Dept|Div
Poetry experts,prose,pros
a.k.a. Bob Clothier,Robert,Rober
Self-defense at the tub,bath,bat
Programmer fish,code,cod
Kindly state your request,Please,pleas
Seize the rug,carpet,carpe
Swift snip,brisk,bris
Dairy-themed tower of rock,butter,butte
Shining unit of angular measurement,radiant,radian
Ancient Greek poet abode,Homer,home
Museum of Breaking Bad art,Meth,Met
Brutally epic pivot for the company formerly known as Facebook,Metal,Meta
Small South Pacific Island - very nice!,Borat,Bora
Danish astronomer dude,Brahe,brah
Poet pub,bard,bar
Granola Moor,Muslim,Musli
Messy downhill,slope,slop
Adjust spending limits,budget,budge
Fonda crossing,Bridget,bridge
Budget hotel for fasting and prayer,Ramadan,Ramada
Italian TV weather forecast,Rain,RAI
That's a Bingo! territory,Landa,land
Kinks classic and a good chuckle,Lola,lol
Oven called,range,rang
The shotgun approach to making a fly go away,shoot,shoo
Geological specimen detector performance curve,Rock,ROC
Later spook,Ciao,CIA
